parishId,parishSlug,parishName,website,type,lat,long,parishAddress,parishDiocese,parishDioceseSlug,dioceseUrl,parishFamily,parishFamilySlug,parishDeanery,parishDeanerySlug,sundayMassTimes,dailyMassTimes,latinMass,confessionTimes,adorationTimes,overnightAdoration,benedictionTimes,devotions,parishCityCounty,parishCityCountySlug,parishProvinceState,provinceStateSlug,parishCountry,parishCountrySlug,parishPhone,parishEmail,parishNationality,parishPhotos,cathedral,basilica,shareBuildingSlug,shareBuildingName,parishesNotes,parishesLastUpdate
11,corpus-christi-windsor,Corpus Christi,https://sw.dol.ca,Parish,42.255098,-83.019825,"1400 Cabana Road W, Windsor, ON N9G 1C4, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,South Windsor Family of Parishes,south-windsor-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Saturday 17:00; Sunday 09:00; Sunday 11:00,Wednesday 08:30; Friday 08:30,,Friday 09:00-10:00,Friday 09:00-10:00,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,519-969-5292,sw@dol.ca,,,,,,,,11/15/2025
12,our-lady-of-mount-carmel-windsor,Our Lady of Mount Carmel,https://sw.dol.ca,Parish,42.243376,-83.010614,"4401 Mt Royal Dr, Windsor, ON N9G 2C5, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,South Windsor Family of Parishes,south-windsor-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Saturday 17:00; Sunday 09:00; Sunday 11:00,Tuesday 19:00; Thursday 08:30,,Tuesday 19:30-20:30,Tuesday 19:30-20:30,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,519-969-5292,sw@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/ourladyofmountcarmel.webp,,,st-yu-jin-gil-korean-catholic-community-windsor,St. Yu Jin-Gil Korean Catholic Community,,11/15/2025
13,st-philippe-minh-st-ane-thanh-vietnamese-martyrs-catholic-community-windsor,St. Philippe Minh & St. Ane Thanh Vietnamese Martyrs Catholic Community,https://sw.dol.ca,Catholic Community,42.290987,-83.048177,"1630 Partington Avenue, Windsor ON, N9B 2R1, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,South Windsor Family of Parishes,south-windsor-family-of-parishes,Windsor,windsor-diocese-of-london-canada,,,,,,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,519-254-5552,sw@dol.ca,Vietnamese,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/stphilipheminh1.webp,,,,,,11/15/2025
14,st-yu-jin-gil-korean-catholic-community-windsor,St. Yu Jin-Gil Korean Catholic Community,https://sw.dol.ca,Catholic Community,42.243562,-83.010922,"4401 Mt Royal Dr, Windsor, ON N9G 2C5, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,South Windsor Family of Parishes,south-windsor-family-of-parishes,Windsor,windsor-diocese-of-london-canada,,,,,,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,519-969-5292,sw@dol.ca,Korean,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/ourladyofmountcarmel.webp,,,our-lady-of-mount-carmel-windsor,Our Lady of Mount Carmel,,11/15/2025
15,our-lady-of-guadalupe-windsor,Our Lady of Guadalupe,https://ncwcf.dol.ca,Parish,42.326483,-82.976298,"834 Raymo Rd, Windsor, ON N8Y 4A6, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,North Central Windsor Catholic Family of Parishes,north-central-windsor-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Saturday 17:00; Sunday 10:00 (Bilingual),Wednesday 09:30,,,Wednesday 10:30-15:00,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,519-948-4133,nccatholic@dol.ca,Spanish,,,,san-juan-diego-of-guadalupe-windsor,San Juan Diego of Guadalupe,,11/15/2025
16,most-precious-blood-windsor,Most Precious Blood,https://ncwcf.dol.ca,Parish,42.305003,-82.984412,"1947 Meldrum Road Windsor, ON, N8W 4E3, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,North Central Windsor Catholic Family of Parishes,north-central-windsor-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Saturday 17:00; Sunday 11:00 (American Sign Language),Thursday 08:30; Friday 08:30,,Saturday 11:00,Thursday 10:00-15:00,,Thursday 15:00,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,519-948-4133,nccatholic@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/mostpreciousblood1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/mostpreciousblood2.webp,,,,,,11/15/2025
17,st-theresa-windsor,St. Theresa,https://ncwcf.dol.ca,Parish,42.309443,-82.967806,"1991 Norman Road, Windsor, ON, N8T 1S1, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,North Central Windsor Catholic Family of Parishes,north-central-windsor-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Sunday 09:00,Tuesday 19:00,,,,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,519-948-4133,nccatholic@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/sttheresa1.webp,,,,,,11/15/2025
18,san-juan-diego-of-guadalupe-windsor,San Juan Diego of Guadalupe,https://ncwcf.dol.ca,Catholic Community,42.326602,-82.976786,"834 Raymo Rd, Windsor, ON N8Y 4A6, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,North Central Windsor Catholic Family of Parishes,north-central-windsor-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,,,,,,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,519-948-4133,nccatholic@dol.ca,Spanish,,,,our-lady-of-guadalupe-windsor,Our Lady of Guadalupe,,11/15/2025
19,sts-cyril-methodius-windsor,Sts. Cyril & Methodius,https://ncwcf.dol.ca,Parish,42.312461,-82.991425,"1532 Alexis Road, Windsor, ON, N8Y 4P2, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,North Central Windsor Catholic Family of Parishes,north-central-windsor-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Sunday 11:30 (Bilingual),,,,,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,519-948-4133,nccatholic@dol.ca,Slovak,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/stscyrilandmethodius1.webp,,,,,,11/15/2025
20,st-jerome-windsor,St-Jérôme,https://famillecatholique.ca/st-jerome,Parish,42.301976,-82.976759,"3739 Ypres Ave, Windsor, ON N8W 1S9, Windsor",Diocese of London,diocese-of-london-canada,https://dol.ca,Windsor-Lake St Clair Catholic Family of Parishes,windsorlake-st-clair-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Sunday 10:00 (French),Tuesday 12:00,,,Saturday 11:00-12:00,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada,(519) 948-6115,stjerome@dol.ca,French,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/stjerome1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/stjerome2.webp,,,,,,11/15/2025
21,ste-anne-tecumseh,Ste. Anne,https://catholicfamily.ca/ste-anne,Parish,42.311085,-82.886449,"12233 Tecumseh Rd E., Tecumseh, ON N8N 1M3, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Windsor-Lake St Clair Catholic Family of Parishes,windsorlake-st-clair-catholic-family-of-parishes,Essex,essex-diocese-of-london-canada,Saturday 16:30 (French); Saturday 18:00; Sunday 09:30; Sunday 12:00,Monday 08:30; Tuesday 08:30; Wednesday 08:30; Thursday 08:30; Friday 08:30; Saturday 08:30,,Saturday 09:00-10:00,Wednesday 09:00-10:00; Friday 09:00-21:00,,,Monday 08:00 (Rosary); Tuesday 08:00 (Rosary); Wednesday 08:00 (Rosary); Thursday 08:00 (Rosary); Friday 08:00 (Rosary); Saturday 08:00 (Rosary); Tuesday 09:00 (Holy Face); First Saturday 09:00 (Immaculate Heart),Tecumseh,tecumseh-ontario-canada,Ontario,ontario,Canada,canada,519-735-2182,steanne@dol.ca,French,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/stannes1.webp,,,,,Friday Adoration takes place in the Day Chapel; Rosary for Pro-Life 2:30-3pm / Divine Mercy 3pm,11/15/2025
22,st-simon-and-st-jude-belle-river,St. Simon and St. Jude,https://catholicfamily.ca/st-simon-st-jude,Parish,42.291548,-82.705684,"488 St Charles St. Belle River, ON N0R 1A0, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Windsor-Lake St Clair Catholic Family of Parishes,windsorlake-st-clair-catholic-family-of-parishes,Essex,essex-diocese-of-london-canada,Saturday 16:30; Sunday 10:30,Tuesday 08:30; Thursday 08:30; Friday 09:30,,Friday 08:15-09:15; Saturday 15:45-16:15,,,,,Belle River,belle-river-ontario-canada,Ontario,ontario,Canada,canada,(519) 728-3381,stsimonstjude@dol.ca,,,,,,,,11/15/2025
23,good-shepherd-tecumseh,Good Shepherd,https://catholicfamily.ca/goodshepherd,Parish,42.302754,-82.823696,"462 Advance Blvd, Tecumseh, ON N8N 5G8, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Windsor-Lake St Clair Catholic Family of Parishes,windsorlake-st-clair-catholic-family-of-parishes,Essex,essex-diocese-of-london-canada,Saturday 17:00; Sunday 08:30; Sunday 11:15,Wednesday 12:15; Thursday 18:30,,Wednesday 11:45-12:10; Thursday 18:00-18:25,,,,,Tecumseh,tecumseh-ontario-canada,Ontario,ontario,Canada,canada,(519) 735-9517,goodshepherd@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/essex/goodshepherd1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/essex/goodshepherd2.webp,,,,,,11/15/2025
24,st-john-vianney-st-anthony-of-padua-windsor,St. John Vianney / St. Anthony of Padua,https://eastwindsorcatholic.dol.ca/st-john-vianney,Parish,42.338023,-82.941048,"385 Dieppe St, Windsor, ON N8S 3V3, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,East Windsor Catholic Family of Parishes,east-windsor-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Saturday 17:00; Sunday 09:30; Third Sunday 11:30 (Hungarian),Tuesday 09:00; Thursday 09:00,,First Saturday 11:00-12:00,,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada, 519-735-6023,atonement@dol.ca,,,,,,,St John Vianney and St Anthony of Padua share the same church building.,11/15/2025
25,our-lady-of-the-atonement-windsor,Our Lady of the Atonement,https://eastwindsorcatholic.dol.ca/our-lady-of-the-atonement,Parish,42.310019,-82.914276,"2940 Forest Glade Dr, Windsor, ON N8R 1L5, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,East Windsor Catholic Family of Parishes,east-windsor-catholic-family-of-parishes,Windsor,windsor-diocese-of-london-canada,Saturday 17:00; Sunday 08:30; Sunday 10:30,Wednesday 09:00; Friday 09:00,,Third Saturday 11:00-12:00,,,,,Windsor,windsor-ontario-canada,Ontario,ontario,Canada,canada, 519-735-6023,atonement@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/ourladyoftheattonement1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/windsor/ourladyoftheattonement2.webp,,,,,,11/15/2025
26,st-peter-s-cathedral-basilica-london,St. Peter’s Cathedral Basilica,https://www.lncc.dol.ca/st-peters-cathedral-basilica,Parish,42.987372,-81.250259,"196 Dufferin Ave, London, ON N6A 1K8",Diocese of London,diocese-of-london-canada,https://dol.ca,London North Central Catholic Family of Parishes,london-north-central-catholic-family-of-parishes,London,london-diocese-of-london-canada,Saturday 17:00; Sunday 09:00; Sunday 11:00,Wednesday 12:00; Friday 12:00,,Saturday 09:00-10:00,,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,519-432-3475,basilica@dol.ca,, https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stpeterlondon1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stpeterlondon2.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stpeterlondon3.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stpeterlondon4.webp,yes,yes,,,,11/15/2025
27,st-michael-s-parish-london,St. Michael's Parish,https://www.lncc.dol.ca/st-michaels-parish,Parish,43.004694,-81.244556,"511 Cheapside Street, London, ON N5Y 3X5, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,London North Central Catholic Family of Parishes,london-north-central-catholic-family-of-parishes,London,london-diocese-of-london-canada,"Saturday 17:00; Sunday 08:00; Sunday 10:00, Sunday 12:00",Tuesday 19:00; Thursday 19:00,,Saturday 09:00-10:00,,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,519-433-6689,stmichlon@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stmichaels1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stmichaels2.webp,,,st-josephine-bakhite-community-london,St. Josephine Bakhite Community,,11/15/2025
28,st-josephine-bakhite-community-london,St. Josephine Bakhite Community,https://www.lncc.dol.ca/st-michaels-parish,Catholic Community,43.004267,-81.245281,"511 Cheapside Street, London, ON N5Y 3X5, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,London North Central Catholic Family of Parishes,london-north-central-catholic-family-of-parishes,London,london-diocese-of-london-canada,Fourth Sunday 14:30,,,,,,,,London,london-ontario-canada,Ontario,ontario,Canada,canada,519-433-6689,stjosephinebakhita2020@gmail.com,African; Caribbean,https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stmichaels1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/london/stmichaels2.webp,,,st-michael-s-parish-london,St. Michael's Parish,,11/15/2025
29,st-paul-lasalle,St. Paul,https://lasallerivercanardfamily.dol.ca,Parish,42.246838,-83.061356,"5885 Malden Rd. LaSalle, ON  N9H 1S5, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,La Salle River Canard Catholic Family of Parishes,la-salle-river-canard-catholic-family-of-parishes,Essex,essex-diocese-of-london-canada,Saturday 16:30,Tuesday 18:30,,Tuesday 17:45-18:15,,,,,LaSalle,lasalle-ontario-canada,Ontario,ontario,Canada,canada,(519) 969-5566,stpaul@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/essex/stpaul.webp,,,,,Check website for Adoration times. They change each month.,11/28/2025
30,st-joseph-amherstburg,St. Joseph,https://lasallerivercanardfamily.dol.ca,Parish,42.185798,-83.069816,"9399 N Townline Rd, Amherstburg, ON N9J 2W6, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,La Salle River Canard Catholic Family of Parishes,la-salle-river-canard-catholic-family-of-parishes,Essex,essex-diocese-of-london-canada,Sunday 11:15 (French); Sunday 12:00,Wednesday 09:00; Friday 09:30 (French),,,,,,,Amherstburg,amherstburg-ontario-canada,Ontario,ontario,Canada,canada,(519) 734-8044,stjosephrc@dol.ca,French,https://images.catholicparishes.org/canada/ontario/diocese_of_london/essex/stjoseph.webp,,,,,"During the school year, the Friday daily Mass will be celebrated at École Mon Augustin Caron on the 2nd Friday of each month. Everyone is welcome to attend these Masses.; Check website for Adoration times. They change each month.",11/28/2025
31,sacred-heart-lasalle,Sacred Heart,https://lasallerivercanardfamily.dol.ca,Parish,42.232402,-83.09932,"1425 Divine St. LaSalle, ON  N9J 0C5, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,La Salle River Canard Catholic Family of Parishes,la-salle-river-canard-catholic-family-of-parishes,Essex,essex-diocese-of-london-canada,Sunday 08:30,Thursday 09:00,,Saturday 11:00-11:45,,,,,LaSalle,lasalle-ontario-canada,Ontario,ontario,Canada,canada,(519) 734-7512,shlasalle@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/essex/sacredheart.webp,,,,,Check website for Adoration times. They change each month.,11/28/2025
32,st-john-the-baptist-amherstburg,St. John the Baptist,https://ahcfop.ca,Parish,42.102927,-83.103569,"225 Brock St, Amherstburg, ON N9V 2H3, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Amherstburg Harrow Catholic Family of Parishes,amherstburg-harrow-catholic-family-of-parishes,Essex,essex-diocese-of-london-canada,Saturday 17:00; Sunday 11:00,Wednesday 09:00; Friday 09:00; First Saturday 09:00,,Saturday 9:45-10:30,Wednesday 09:30:21:30,,,Friday 15:00 (Divine Mercy Chaplet),Amherstburg,amherstburg-ontario-canada,Ontario,ontario,Canada,canada,519-736-5418,ahcfop@dol.ca ,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/essex/stjohnthebaptist.webp,,,,,Wednesday Adoration takes place in the Adoration Chapel,11/28/2025
33,st-anthony-of-padua-harrow,St. Anthony of Padua,https://ahcfop.ca,Parish,42.038238,-82.920293,"120 Munger St W, Harrow, ON N0R 1G0, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Amherstburg Harrow Catholic Family of Parishes,amherstburg-harrow-catholic-family-of-parishes,Essex,essex-diocese-of-london-canada,Sunday 09:00,Tuesday 18:00; Thursday 09:00,,,,,,,Harrow,harrow-ontario-canada,Ontario,ontario,Canada,canada,519-736-5418,ahcfop@dol.ca ,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/essex/stanthonyofpadua1.webp; https://images.catholicparishes.org/canada/ontario/diocese_of_london/essex/stanthonyofpadua2.webp,,,,,,11/28/2025
34,st-mary-maidstone,St. Mary,https://centralessexcatholic.dol.ca,Parish,42.209078,-82.886031,"12048 County Rd 34, Maidstone, ON N0R 1K0, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Central Essex County Catholic Family of Parishes,central-essex-county-catholic-family-of-parishes,Essex,essex-diocese-of-london-canada,Sunday 08:30,Thursday 09:30,,Thursday 09:00-09:30,,,,,Maidstone,maidstone-ontario-canada,Ontario,ontario,Canada,canada,519-776-8483,centralessexcatholic@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/essex/stmary.webp,,,,,,11/28/2025
35,st-clement-mcgregor,St. Clement,https://centralessexcatholic.dol.ca,Parish,42.14585,-82.969437,"9567 County Rd 11, McGregor, ON N0R 1J0, Canada",Diocese of London,diocese-of-london-canada,https://dol.ca,Central Essex County Catholic Family of Parishes,central-essex-county-catholic-family-of-parishes,Essex,essex-diocese-of-london-canada,Sunday 09:45,Tuesday 19:00,,Tuesday 18:15-18:45,Tuesday 18:00-19:00; Wednesday 14:00-16:00; Sunday 14:00-16:00,,,,McGregor,mcgregor-ontario-canada,Ontario,ontario,Canada,canada,519-776-8483,centralessexcatholic@dol.ca,,https://images.catholicparishes.org/canada/ontario/diocese_of_london/essex/stclement.webp,,,,,,11/28/2025
